"","survey_code","rating.variable","excluded","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","main.rating","emot","time.spent","face","female","seen.face.before"
"57540092.4",57540092,"human-like","","",21,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,18,0,10.864,"4",0,0
"90848727.4",90848727,"human-like","","no",18,"b.HS.only",1,0,0,0,0,0,0,0,0,21,-41,8.828,"4",0,0
"52139761.4",52139761,"mechanical","","no",25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,65,10,4.884,"4",0,0
"22126544.4",22126544,"human-like","","I wasn't sure if the last question (Do you think you've seen this face before this survey) applied to previous questions or more generally in my life. ",19,"b.HS.only",1,0,0,0,0,0,0,0,0,38,20,12.23,"4",0,0
"98199656.4",98199656,"mechanical","","no",19,"b.HS.only",1,0,0,0,0,0,0,0,0,62,-8,7.233,"4",1,0
"87459225.4",87459225,"human-like","","None",25,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,9,0,4.987,"4",0,0
"30229826.4",30229826,"human-like","","None",51,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,6,0,7.207,"4",0,0
"11142631.4",11142631,"mechanical","","no",27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,81,0,7.766,"4",1,0
"67914440.4",67914440,"human-like","","No.",20,"b.HS.only",1,0,0,0,0,0,0,0,0,0,0,8.369,"4",1,0
"46031764.4",46031764,"human-like","","no",50,"b.HS.only",1,0,0,0,0,0,0,0,0,10,0,7.634,"4",1,0
"99445757.4",99445757,"human-like","","No",36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,54,7,10.195,"4",0,0
"87786538.4",87786538,"mechanical","","no. ",32,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,87,10,5.292,"4",0,0
"85547776.4",85547776,"human-like","","No. It was pretty straightforward.",42,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,20,-25,7.993,"4",1,0
"19071077.4",19071077,"mechanical","","",22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,91,0,9.307,"4",0,0
"36796684.4",36796684,"mechanical","","no",55,"b.HS.only",1,0,0,0,0,0,0,0,0,100,0,19.374,"4",0,0
"92872603.4",92872603,"mechanical","","No I did not. ",27,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,4.352,"4",0,0
"25132135.4",25132135,"mechanical","","more confusion than anything.  some faces were extremely lifelike!",27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,7.396,"4",0,0
"29677744.4",29677744,"human-like","","No",37,"b.HS.only",1,0,0,0,0,0,0,0,0,0,NA,9.708,"4",1,0
"21575119.4",21575119,"human-like","","",21,"c.2.Yr.Coll",1,0,0,0,0,1,0,0,0,6,-19,17.825,"4",1,0
"17350089.4",17350089,"mechanical","","No, I didn't have any problems.",43,"b.HS.only",1,0,0,0,0,1,0,1,0,90,0,7.514,"4",1,0
"78584558.4",78584558,"human-like","","no",61,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,5,15,10.774,"4",1,0
"35118750.4",35118750,"human-like","","None",35,"b.HS.only",1,0,0,0,0,0,0,0,0,0,0,5.614,"4",0,0
"19405606.4",19405606,"human-like","","None.",39,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,0,6.728,"4",1,1
"47785580.4",47785580,"human-like","","No",32,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,0,-32,6.623,"4",0,0
"22119787.4",22119787,"mechanical","","No",36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,61,-14,17.781,"4",1,0
"70126906.4",70126906,"mechanical","","No",42,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,53,-7,15.63,"4",1,0
"35542605.4",35542605,"human-like","","No",32,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,8,0,4.891,"4",0,0
"53729894.4",53729894,"human-like","","I did not experience any confusions or problems.",30,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,30,-21,14.864,"4",1,0
"18367701.4",18367701,"human-like","","No confusion or technical problems experienced.",25,"b.HS.only",1,0,0,0,0,0,0,0,0,0,-30,18.096,"4",1,1
"77522393.4",77522393,"mechanical","","I don't think so. I was a little confused about ""have you seen this before the survey?"" because all the pictures were shown on the first page, but I assumed you wanted to know if I'd seen them before I was shown them.",33,"d.4.Yr.Coll",1,1,0,0,0,0,0,0,0,70,-20,14.967,"4",1,0
"94417992.4",94417992,"human-like","","No, but some pictures were a little fuzzy",41,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,0,18.69,"4",1,0
"93643997.4",93643997,"mechanical","","",34,"Post.Grad.Degree",1,1,1,1,1,1,1,1,1,95,0,5.512,"4",0,0
"14661991.4",14661991,"mechanical","","nope",22,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,92,-1,13.076,"4",0,0
"12102073.4",12102073,"human-like","","No.",23,"b.HS.only",0,1,0,0,0,0,0,1,0,4,0,9.999,"4",1,0
"59186701.4",59186701,"mechanical","","No",26,"a.No.HS",1,1,0,0,0,0,0,0,0,64,-29,41.004,"4",1,0
"21219262.4",21219262,"mechanical","","None",53,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,90,36,19.887,"4",1,0
"58422882.4",58422882,"mechanical","","Nope. Made me tired though. I maybe should have taken a break in between. Hopefully I didn't miss any attention checks.",23,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,95,0,20.346,"4",0,0
"89284483.4",89284483,"human-like","","No",26,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,13,-11,8.54,"4",1,0
"12519221.4",12519221,"mechanical","","No, I did experience any problems.",24,"b.HS.only",0,0,0,0,0,1,0,0,0,100,0,14.561,"4",1,0
"61231826.4",61231826,"mechanical","","No. ",52,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,91,-17,9.997,"4",1,0
"91817739.4",91817739,"mechanical","","No confusion, but on one of the robots (it resembeled an asian woman) I accidentally marked that it had an emotion that it was skewing towards negative when it was really a positive. It was more like a 44 on the positive scale.",28,"b.HS.only",0,1,0,0,0,0,0,0,0,99,0,12.079,"4",0,0
"17171596.4",17171596,"human-like","","There was a bit of confusion about the question of if I've seen a robot face before doing the survey. You showed that collection of thumbnails before the rest of the questions started, and I did indeed see many of the faces I rated on that list, however I didn't consider that to be 'before' the survey. The thumbnails were, in my mind, part of the survey. I only said I saw a face before taking the survey if it was literally BEFORE clicking the link to this qualtrics page. I hope that's what you meant and that I didn't cause an issue with the results. If it's not what you meant, I'd say about 80% of the faces I saw I recognized from the thumbnail list.",27,"b.HS.only",1,0,0,0,0,0,0,0,0,0,0,26.431,"4",0,0
"47481076.4",47481076,"mechanical","","No",23,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,9.15,"4",1,0
"18104407.4",18104407,"mechanical","","I did not experience any confusion or technial problems.",33,"b.HS.only",1,0,0,0,0,0,0,0,0,95,0,36.336,"4",1,0
